ORG	GRAM	ORGANISM	ORG_CLEAN	STATUS	COMMON	ORG_GROUP	SUB_GROUP	GENUS	GENUS_CODE	SCT_CODE	SCT_TEXT	EXCLUDE
agt	-	Aggregatibacter sp.	Aggregatibacter sp.	C		HAK		Aggregatibacter	AGT	0		FALSE
arx	f	Arxiozyma sp.	Arxiozyma sp.	C		FUNGUS		Arxiozyma	ARX	0		FALSE
c60	-	CDC Enteric Group 60	CDC Enteric Group 60	C						0		FALSE
c63	-	CDC Enteric Group 63	CDC Enteric Group 63	C						0		FALSE
c64	-	CDC Enteric Group 64	CDC Enteric Group 64	C						0		FALSE
c68	-	CDC Enteric Group 68	CDC Enteric Group 68	C						0		FALSE
c69	-	CDC Enteric Group 69	CDC Enteric Group 69	C						0		FALSE
cd-	a	Clostridium difficile, toxin-nonproducing	Clostridium difficile, toxin-nonproducing	C		SPORE		Clostridium	CLO	0		FALSE
cd+	a	Clostridium difficile, toxin-producing	Clostridium difficile, toxin-producing	C		SPORE		Clostridium	CLO	0		FALSE
def	-	Delftia sp.	Delftia sp.	C				Delftia	DEF	0		FALSE
ebv	v	Epstein-Barr virus	Epstein-Barr virus	C	C	DNA				0		FALSE
gbc	v	GB virus C	GB virus C	C		RNA				0		FALSE
hvi	v	Hantavirus 	Hantavirus 	C		RNA				0		FALSE
hav	v	Hepatitis A virus	Hepatitis A virus	C	C	RNA				0		FALSE
hhv	v	Human herpesvirus	Human herpesvirus	C	C	DNA				0		FALSE
jcv	v	JC virus	JC virus	C		DNA				0		FALSE
kuv	v	Kukoppevirus???	Kukoppevirus???	C		DNA				0		FALSE
mcv	v	Molluscum contagiosum virus	Molluscum contagiosum virus	C		DNA				0		FALSE
mlf	m	Mycobacterium lentiflavum	Mycobacterium lentiflavum	C		MYCO		Mycobacterium	MYC	0		FALSE
nov	v	Norovirus	Norovirus	C		RNA				0		FALSE
oth	o	Other	Other	C		OTHER				0		FALSE
pvm	a	Parvimonas sp.	Parvimonas sp.	C		AGPC		Parvimonas	PVM	0		FALSE
rev	v	Reovirus	Reovirus	C		RNA				0		FALSE
sgu	+	Streptococcus parasanguinis	Streptococcus parasanguinis	C		SVI		Streptococcus	STR	0		FALSE
spu	+	Streptococcus pasteurianus	Streptococcus pasteurianus	C						0		FALSE
ttv	v	TT virus	TT virus	C		DNA				0		FALSE
wei	a	Weisella sp.	Weisella sp.	C		CatNeg		Weisella	WEI	0		FALSE
yar	f	Yarrowia species	Yarrowia species	C		FUNGUS		Yarrowia	YAR	0		FALSE
bst	a	Bacteroides stercoris	Bacteroides stercoris	C		AGNR		Bacteroides	BAC	163009	Bacteroides stercoris	FALSE
smu	+	Streptococcus mutans	Streptococcus mutans	C		SVI		Streptococcus	STR	214001	Streptococcus mutans	FALSE
ajo	-	Acinetobacter johnsonii	Acinetobacter johnsonii	C		NFR		Acinetobacter	AC-	252000	Acinetobacter johnsonii	FALSE
tru	f	Trichophyton rubrum	Trichophyton rubrum	C		FUNGUS		Trichophyton	TRY	372008	Trichophyton rubrum	FALSE
lok	-	Legionella oakridgensis	Legionella oakridgensis	C		GNCB		Legionella	LEG	638008	Legionella oakridgensis	FALSE
arf	f	Acremonium recifei	Acremonium recifei	C		FUNGUS		Acremonium	ACR	654006	Acremonium recifei	FALSE
lth	f	Lasiodiplodia theobromae	Lasiodiplodia theobromae	C		check		Lasiodiplodia	LAS	784008	Lasiodiplodia theobromae	FALSE
sfi	-	Serratia ficaria	Serratia ficaria	C		EBC		Serratia	SE-	802004	Serratia ficaria	FALSE
pcp	i	Pediculus capitus	Pediculus capitus	C				Pediculus	PEU	821007	Trichodina pediculus	FALSE
phu	i	Pediculus humanus	Pediculus humanus	C				Pediculus	PEU	821007	Trichodina pediculus	FALSE
peu	i	Pediculus species	Pediculus species	C				Pediculus	PEU	821007	Trichodina pediculus	FALSE
mpf	m	Mycobacterium parafortuitum	Mycobacterium parafortuitum	C		MYCO		Mycobacterium	MYC	909007	Mycobacterium parafortuitum	FALSE
lcs	a	Lactobacillus casei	Lactobacillus casei	C		GPR		Lactobacillus	LAC	1017006	Lactobacillus casei	FALSE
mho	b	Mycoplasma hominis	Mycoplasma hominis	C		MYCOP		Mycoplasma	MYP	1290001	Mycoplasma hominis	FALSE
pst	-	Providencia stuartii	Providencia stuartii	C		EBC		Providencia	PRV	1445008	Providencia stuartii	FALSE
psu	-	Providencia stuartii urea +	Providencia stuartii urea +	C		EBC		Providencia	PRV	1445008	Providencia stuartii	FALSE
mka	m	Mycobacterium kansasii	Mycobacterium kansasii	C		MYCO		Mycobacterium	MYC	1507005	Mycobacterium kansasii	FALSE
tpt	-	CDC EF-9	CDC EF-9	O		EBC		Tatumella	TAT	1546007	Tatumella ptyseos	FALSE
pga	-	Pasteurella gallicida	Pasteurella gallicida	O		FERM		Pasteurella	PAS	1743002	Pasteurella multocida ss. gallicida	FALSE
rhv	v	Rhinovirus	Rhinovirus	C		RNA				1838001	Human rhinovirus	FALSE
aur	-	Actinobacillus ureae	Actinobacillus ureae	C		GNCB		Actinobacillus	ACB	1839009	Actinobacillus ureae	FALSE
ofe	w	Opisthorchis felineus	Opisthorchis felineus	C		TREMA		Opisthorchis	OPI	1846000	Opisthorchis felineus	FALSE
cop	-	Salmonella Copenhagen	Salmonella Copenhagen	C		EBC		Salmonella	SAL	1885007	Salmonella Typhimurium var. Copenhagen	FALSE
fva	a	Fusobacterium varium	Fusobacterium varium	C		AGNR		Fusobacterium	FU-	1972005	Fusobacterium varium	FALSE
mif	w	Microfilaria sp.	Microfilaria sp.	C		check		Microfilaria	MIF	2105009	Microfilaria	FALSE
slo	-	Salmonella London	Salmonella London	C		EBC	GRE	Salmonella	SAL	2291004	Salmonella London	FALSE
cle	-	Cedecea lapagei	Cedecea lapagei	C		EBC		Cedecea	CED	2345009	Cedecea lapagei	FALSE
peo	a	Bacteroides endodontalis	Bacteroides endodontalis	O		AGNR		Porphyromonas	POR	2401005	Porphyromonas endodontalis	FALSE
msa	b	Mycoplasma salivarium	Mycoplasma salivarium	C		MYCOP		Mycoplasma	MYP	2654003	Mycoplasma salivarium	FALSE
ent	+	Enterococcus sp.	Enterococcus sp.	C	X	CatNeg		Enterococcus	ENT	2785000	Genus Enterococcus	FALSE
pau	-	Salmonella Saintpaul	Salmonella Saintpaul	C		EBC	GRB	Salmonella	SAL	2820001	Salmonella Saintpaul	FALSE
bln	+	Bacillus lentus	Bacillus lentus	C		GPR		Bacillus	BCS	3020006	Bacillus lentus	FALSE
lir	-	Legionella israelensis	Legionella israelensis	C		GNCB		Legionella	LEG	3128001	Legionella israelensis	FALSE
ame	a	Actinomyces meyeri	Actinomyces meyeri	C		NOSPORE		Actinomyces	ACT	3174002	Actinomyces meyeri	FALSE
cgl	f	Candida glabrata	Candida glabrata	C		FUNGUS		Candida	CAN	3265006	Candida	FALSE
cps	f	Candida kefyr (pseudotropicalis)	Candida kefyr	C		FUNGUS		Candida	CAN	3265006	Candida	FALSE
ctn	f	Candida tenuis	Candida tenuis	C		FUNGUS		Candida	CAN	3265006	Candida	FALSE
cxa	f	Candida, not albicans	Candida, not albicans	C		FUNGUS		Candida	CAN	3265006	Candida	FALSE
shm	w	Schistosoma haematobium	Schistosoma haematobium	C		TREMA		Schistosoma	SCI	3294004	Schistosoma hematobium	FALSE
pts	-	Pasteurella testudinis	Pasteurella testudinis	C		FERM		Pasteurella	PAS	3388005	Pasteurella testudinis	FALSE
bre	+	Brevibacterium sp.	Brevibacterium sp.	C		COF		Brevibacterium	BRE	3603008	Brevibacterium	FALSE
tho	w	Trichomonas hominis	Trichomonas hominis	C		FLAG		Trichomonas	TRM	3764006	Trichomonas	FALSE
dme	w	Dracunculus medinensis	Dracunculus medinensis	C		NEMAT		Dracunculus	DRA	3824001	Dracunculus medinensis	FALSE
tde	b	Treponema denticola	Treponema denticola	C		TREP		Treponema	TRE	4099006	Treponema denticola	FALSE
pic	f	Pichia sp.	Pichia sp.	C		check		Pichia	PIC	4163004	Pichia	FALSE
boc	-	Bacteroides ochraceus	Bacteroides ochraceus	O		GNCB		Capnocytophaga	CAP	4256006	Capnocytophaga ochracea	FALSE
