Name	Type	Code
Отделение диализа №1	out	0772
Эндокринолог. отделение клиники им. Эйхвальда	in	Энд
Кардиореанимация клин. Эйхвальда	icu	реа
Отд гематологии и ХТ	in	гем
Отд ревматологии клин Эйхвальда	in	рев
ККДО микологии	out	КДЦ
Кардиохирургия кл. Эйхвальда	inx	2кх
Хирургия кл. Эйхвальда	inx	хир
15-реанимация	icu	15-р
Отд торак. хир. 15-1,3	inx	15-3
ОРИТ для больных с ИМ (16-р)	icu	16-р
Кардиологическое отд. 16-2,3	in	16-3
Отд сосуд. хирургии 17-2	inx	17-2
ОРИТ отд. сосуд. хир, 17-р	icu	17-р
Кардиохир отд, 17-3	inx	17-3
Отд нефрол и гепатол, 18-2	in	18-2
отд. кардиологии, 18-3	in	18-3
ОРИТ кардиотер отд, 18-р	icu	18-р
Отд. ЛОР, 19-2	in	19-2
Отд. офтальмологии № 2	in	19-3
Травматолог. отд. 20-3	in	20-3
ОРИТ травм отд, 20-р	inx	20-р
Отд травмат. и гн. хир 20-2	inx	20-2
ОРИТ гинеколог отд 21-р	icu	21-р
Гинеколог отд, 21-2	inx	21-2
Уролог отд, 21-3	inx	21-3
Терапевт отд, 24-3	in	24-3
ОРИТ терапевт отд, 24-р	icu	24-р
Гастроэнтеролог. отд. 24-4	in	24-4
КДП, Пискаревский 47	out	КДП
Онколог. отд. (13-2)	inx	13-2
Р/опер каб в РО	inx	Р\о
Отд анест-реаним (Эйхвальда)	icu	Реа
КДО микологии	out	КДО
I отд миколог клин	out	1о.м
II отд миколог клин	out	2о.м
КДЦ Кирочная 41	out	КДЦ
Каб терапевт косметологии	in	КТС
Пр/о (мед-Проф Центр)	out	МПЦ
Отд офтальмологии №1	in	офт
I стомат отд (Парадная)	in	сто
II стомат отд (Просвещения)	in	сто
III стомат отд (Заневский)	in	сто
ЦЕНТР СЕМЕЙНОЙ МЕДИЦИНЫ	out	ЦСМ
КДЦ, Пискаревский 47	out	КДЦ
IV стомат отд, 24-3 (Пискар)	in	24-3
Приемное отделение 3/1	out	1-3
Невролог отд № 2 (12-3)	in	12-3
Хир отд 15-2(оперблок)	inx	15-2
Отд абдом хирургии 13-1	inx	13-1
ОАРИТ ХП №1 (13-р)	icu	13-р
Отд диализа №2	out	10-2
Невролог отд №1 12-2	in	12-2
Патологоанатомия,23-п	oth	ПАО
19-2 Оперблок	inx	ОБ19
15-2 Оперблок	inx	ОБ15
13-2 Оперблок	inx	ОБ13
17-1 Оперблок	inx	ОБ17
20-1 Оперблок	inx	ОБ20
Эйхвальда_Оперблок	inx	ЭОП
Офтальм_Оперблок	inx	ООП
21-1 Оперблок	inx	ОБ21
Медчасть Кирочной 41	out	Мед
Патологоанатомический корпус	in	23-п
Отдел организации специализированной и высокотехнологичной помощи	in	КлА
18-2 COVID	in	18-2 C
18-3 COVID	in	18-3 C
24-4 COVID	in	24-4 C
24-3 COVID	in	24-3 C
12-2 COVID	in	12-2 C
12-3 COVID	in	12-3 C
12-1 COVID	in	12-1 C
Приемное COVID	in	ПО c
Кабинет рентген COVID	in	РГ c
Отделение офтальмологии-1	in	0073
Поликлиническое отделение МПЦ	out	ПоМ
Реабилитационный центр	in	12-1,3
Хирургическое отд. (гнойной хир.)	inx	0822
Ревматология Кирочная, 41	in	ревм
